exp_name,return_code,status,duration_sec,acc,auc,eer,best_threshold,exp_dir
dnn_bn_dropout__fbank,0,success,736.8174,0.969185557302703,0.9913365456229107,0.037391058314552084,0.3899999260902405,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_123655/dnn_bn_dropout__fbank
dnn_bn_dropout__fbank_delta,0,success,813.7738,0.9803929829195782,0.9960416259646897,0.026059589864956215,0.3999999463558197,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_123655/dnn_bn_dropout__fbank_delta
dnn_bn_dropout__fbank_delta_deltadelta,0,success,1162.0506,0.9811080355750083,0.9963350682600841,0.024741069673896228,0.40999993681907654,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_123655/dnn_bn_dropout__fbank_delta_deltadelta
dnn_bn_dropout__mfcc,0,success,741.5656,0.9660737119089287,0.9895015044489237,0.0397618858462572,0.3899999260902405,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_123655/dnn_bn_dropout__mfcc
dnn_bn_dropout__mfcc_delta,0,success,856.2149,0.9797462473968326,0.995538494202262,0.026601772057685956,0.3899999260902405,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_123655/dnn_bn_dropout__mfcc_delta
dnn_mlp__fbank,0,success,668.1509,0.9693187757114375,0.9913346708974691,0.037159690078065875,0.3999999463558197,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_123655/dnn_mlp__fbank
dnn_mlp__fbank_delta,0,success,834.0314,0.9805148151395321,0.9960709815236155,0.025888154364427273,0.40999993681907654,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_123655/dnn_mlp__fbank_delta
dnn_mlp__fbank_delta_deltadelta,0,success,970.9735,0.9813665020603308,0.9963353525241374,0.024718769120981893,0.40999993681907654,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_123655/dnn_mlp__fbank_delta_deltadelta
dnn_mlp__mfcc,0,success,717.3521,0.9659393548813161,0.9893044536820085,0.040178627428843816,0.3999999463558197,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_123655/dnn_mlp__mfcc
dnn_mlp__mfcc_delta,0,success,837.2663,0.9792019875731136,0.99521779421969,0.0274631309140021,0.3999999463558197,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_123655/dnn_mlp__mfcc_delta
gmm__fbank,0,success,350.746,0.9310725675969562,0.9607715011425441,0.07345244616158701,0.10000000149011612,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_123655/gmm__fbank
gmm__fbank_delta,0,success,1511.7546,0.945333769044824,0.9709629586664039,0.04982361656429319,0.10000000149011612,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_123655/gmm__fbank_delta
gmm__fbank_delta_deltadelta,0,success,1403.1226,0.9561324304844709,0.9699253542028967,0.04657749233070047,0.10000000149011612,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_123655/gmm__fbank_delta_deltadelta
gmm__mfcc,0,success,834.7759,0.9331494084305619,0.969179373919433,0.0718412312135264,0.10000000149011612,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_123655/gmm__mfcc
gmm__mfcc_delta,0,success,1252.4831,0.9607142328498378,0.979138366801848,0.04939572470524941,0.10000000149011612,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_123655/gmm__mfcc_delta
