exp_name,return_code,status,duration_sec,acc,auc,eer,best_threshold,exp_dir
dnn_bn_dropout__fbank,0,success,1872.0501,0.9692470427221189,0.991315523545247,0.03734088207049484,0.3999999463558197,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093016/dnn_bn_dropout__fbank
dnn_bn_dropout__fbank_delta,0,success,3090.2742,0.9805193696150444,0.996073925885474,0.02613903558471353,0.3999999463558197,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093016/dnn_bn_dropout__fbank_delta
dnn_bn_dropout__fbank_delta_deltadelta,0,success,3585.0367,0.9811672437566681,0.9963400630202719,0.02477033914959629,0.40999993681907654,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093016/dnn_bn_dropout__fbank_delta_deltadelta
dnn_bn_dropout__mfcc,0,success,2316.3263,0.965845988133314,0.989485459664281,0.0399807100217291,0.3899999260902405,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093016/dnn_bn_dropout__mfcc
dnn_bn_dropout__mfcc_delta,0,success,2821.8168,0.9796232765580006,0.9955009337039517,0.026717456175929064,0.3899999260902405,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093016/dnn_bn_dropout__mfcc_delta
dnn_mlp__fbank,0,success,1522.3927,0.9692755081940707,0.9913220693855128,0.037267011488966106,0.3899999260902405,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093016/dnn_mlp__fbank
dnn_mlp__fbank_delta,0,success,3387.7148,0.9804886269053363,0.9960961957169794,0.025854703535055774,0.40999993681907654,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093016/dnn_mlp__fbank_delta
dnn_mlp__fbank_delta_deltadelta,0,success,3492.2927,0.9813391752072571,0.9963252759236506,0.02483166567011071,0.40999993681907654,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093016/dnn_mlp__fbank_delta_deltadelta
dnn_mlp__mfcc,0,success,1689.9767,0.9659063349338519,0.9893151915686261,0.03989290159462891,0.3999999463558197,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093016/dnn_mlp__mfcc
dnn_mlp__mfcc_delta,0,success,1958.1885,0.9792281758073093,0.9952844670672165,0.02734744679575899,0.3999999463558197,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093016/dnn_mlp__mfcc_delta
gmm__fbank,0,success,3533.445,0.9310725675969562,0.9607715011425441,0.07345244616158701,0.10000000149011612,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093016/gmm__fbank
gmm__fbank_delta,0,success,5914.0837,0.945333769044824,0.9709629586664039,0.04982361656429319,0.10000000149011612,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093016/gmm__fbank_delta
gmm__fbank_delta_deltadelta,0,success,5470.8575,0.9561324304844709,0.9699253542028967,0.04657749233070047,0.10000000149011612,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093016/gmm__fbank_delta_deltadelta
gmm__mfcc,0,success,5598.8556,0.9331494084305619,0.969179373919433,0.0718412312135264,0.10000000149011612,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093016/gmm__mfcc
gmm__mfcc_delta,0,success,4739.7218,0.9607142328498378,0.979138366801848,0.04939572470524941,0.10000000149011612,/home/lihaochen/Work_Dir/AI2304/result/task2_batch_20260429_093016/gmm__mfcc_delta
